Id,Country,City,Latitude,Longitude,Population,IdProche,NCTNumber,Disease,Condition,Intervention,Phases,Enrollment,PrincipalInvestigationLocation
179,united states of america,lubbock,33.5777778,-101.8547222,211387,0,NCT02418897,Multiple Sclerosis,RRMS,Behavioral,N/A,40,Texas Tech University Health Sciences Center
180,united kingdom,irvine,55.6,-4.666667,32749,499,NCT02264704,Multiple Sclerosis,All,Other,N/A,63,Douglas Grant Rehabilitation Centre - Ayrshire Central Hospital
181,united states of america,birmingham,33.5205556,-86.8025,231621,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
182,united states of america,little rock,34.7463889,-92.2894444,184217,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
183,united states of america,los angeles,34.0522222,-118.2427778,3877129,183,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
184,united states of america,san francisco,37.775,-122.4183333,732072,184,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
185,united states of america,miami,25.7738889,-80.1938889,382894,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
186,united states of america,orlando,28.5380556,-81.3794444,207970,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
187,united states of america,tallahassee,30.4380556,-84.2808333,153583,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
188,united states of america,chicago,41.85,-87.65,2841952,188,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
189,united states of america,boston,42.3583333,-71.0602778,571281,189,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
190,united states of america,boston,42.3583333,-71.0602778,571281,190,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
191,united states of america,detroit,42.3313889,-83.0458333,884941,191,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
192,united states of america,new brunswick,40.4861111,-74.4522222,50633,1,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
193,united states of america,rochester,44.0216667,-92.4697222,96355,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
194,united states of america,stony brook,40.9255556,-73.1413889,13620,1,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
195,united states of america,chapel hill,35.9130556,-79.0561111,47529,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
196,united states of america,philadelphia,39.9522222,-75.1641667,1453268,196,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
197,united states of america,greenville,34.8525,-82.3941667,55559,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
198,united states of america,san antonio,29.4238889,-98.4933333,1256810,198,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
199,united states of america,salt lake city,40.7608333,-111.8902778,178026,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
200,australia,melbourne,-37.813938,144.963425,3730212,200,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
201,austria,vienna,48.2,16.366667,1569315,201,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
202,belarus,minsk,53.9,27.5666667,1742123,202,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
203,brazil,belo horizonte,-19.916667,-43.933333,2373255,203,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
204,brazil,rio de janeiro,-22.9,-43.233333,6023742,204,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
205,brazil,sao paulo,-23.473293,-46.665803,10021437,205,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
206,brazil,goiania,-16.666667,-49.266667,1171209,206,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
207,bulgaria,sofia,42.6833333,23.3166667,1062065,207,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
208,canada,calgary,51.083333,-114.083333,968475,208,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
209,canada,ottawa,45.416667,-75.7,874433,209,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
210,croatia,osijek,45.5511111,18.6938889,88141,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
211,estonia,tallinn,59.4338889,24.7280556,394023,349,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
212,france,bordeaux,44.840439,-0.5805,219311,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
213,france,le kremlin-bicetre,48.814713,2.360728,27194,158,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
214,france,marseille,43.285413,5.37606,792823,214,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
215,france,montpellier,43.61092,3.87723,238887,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
216,france,toulouse,43.599516,1.433188,411145,216,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
217,germany,bochum,51.483333,7.216667,387061,17,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
218,germany,bonn,50.733333,7.1,314081,807,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
219,germany,dresden,51.05,13.75,480801,219,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
220,germany,erlangen,49.589722,11.003889,102781,777,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
221,germany,essen,51.45,7.016667,576914,221,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
222,germany,freiburg,48,7.85,213920,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
223,germany,gottingen,51.533333,9.933333,123570,1516,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
224,germany,hamburg,53.55,10,1733846,224,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
225,germany,munich,48.15,11.5833,1246133,225,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
226,germany,muenster,51.966667,7.633333,302178,1655,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
227,italy,bari,41.133333,16.85,303049,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
228,italy,montichiari,45.416667,10.383333,21041,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
229,italy,catania,37.5,15.1,307331,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
230,italy,milan,45.466667,9.2,1156903,230,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
231,italy,cefalu,38.033333,14.016667,14334,1523,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
232,italy,rome,41.9,12.483333,2643736,232,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
233,italy,gallarate,45.666667,8.783333,48529,7,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
234,italy,naples,40.833333,14.25,981284,234,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
235,latvia,riga,56.95,24.1,742570,235,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
236,lithuania,kaunas,54.9,23.9,374655,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
237,mexico,mexico,19.434167,-99.138611,8720916,237,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
238,mexico,mexico,19.434167,-99.138611,8720916,238,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
239,mexico,mexico,19.434167,-99.138611,8720916,239,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
240,mexico,mexico,19.434167,-99.138611,8720916,240,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
241,netherlands,rotterdam,51.916667,4.5,603851,241,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
242,poland,lodz,51.75,19.466667,715360,242,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
243,poland,lublin,51.25,22.566667,360044,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
244,poland,poznan,52.416667,16.966667,570352,244,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
245,poland,wroclaw,51.1,17.033333,634893,245,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
246,united states of america,santurce,18.1972222,-67.1405556,94067,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
247,romania,bucharest,44.433333,26.1,1877155,247,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
248,russia,moscow,55.752222,37.615556,10381288,248,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
249,russia,kazan,55.78874,49.122144,1104750,249,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
250,russia,moscow,55.752222,37.615556,10381288,250,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
251,russia,novosibirsk,55.0415,82.9346,1419016,251,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
252,russia,saint petersburg,59.894444,30.264167,4039751,252,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
253,serbia,belgrade,44.818611,20.468056,1115200,253,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
254,serbia,kragujevac,44.016667,20.916667,149275,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
255,serbia,novi sad,45.251667,19.836944,194405,253,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
256,slovakia,bratislava,48.15,17.1166667,423737,256,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
257,spain,malaga,36.726666,-4.434802,557875,257,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
258,spain,sevilla,37.382408,-5.976133,686647,258,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
259,spain,barcelona,41.398371,2.1741,1570378,259,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
260,spain,valencia,39.466667,-0.366667,769897,260,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
261,spain,bilboa,43.260919,-2.938764,345141,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
262,spain,madrid,40.408566,-3.69222,3102644,262,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
263,sweden,lund,55.7,13.183333,76263,37,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
264,turkey,ankara,39.911652,32.840305,3519177,264,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
265,turkey,ankara,39.911652,32.840305,3519177,265,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
266,turkey,samsun,41.286667,36.33,394261,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
267,turkey,balcova,38.388578,27.056201,77843,1122,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
268,turkey,istanbul,41.018611,28.964722,9797536,268,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
269,turkey,konak,38.4,27.1,390682,1122,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
270,ukraine,cherkasy,49.428536,32.06207,297566,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
271,ukraine,dnipropetrovsk,48.46298,35.039043,979046,271,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
272,ukraine,kharkiv,49.980814,36.252718,1430885,272,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
273,ukraine,kharkiv,49.980814,36.252718,1430885,273,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
274,ukraine,kiev,50.433333,30.516667,2514227,274,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
275,ukraine,lviv,49.840661,24.030451,729429,275,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
276,ukraine,odessa,46.463934,30.738551,1016515,276,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
277,ukraine,vinnytsya,49.232776,28.480968,352113,0,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
278,united kingdom,west midlands,52.5,-1.966667,2440986,278,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
279,united kingdom,edinburgh,55.95,-3.2,435794,279,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
280,united kingdom,london,51.514125,-0.093689,7421228,280,NCT01892722,Multiple Sclerosis,RRMS,Drug,Phase 3,190,Novartis Investigative Site
281,united states of america,kenmore,47.7575,-122.2427778,19284,73,NCT01703429,Multiple Sclerosis,All,Other,N/A,1000,Bastyr University Clinical Research Center
282,united states of america,cullman,34.1747222,-86.8436111,14796,0,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
283,united states of america,berkeley,37.8716667,-122.2716667,100158,39,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
284,united states of america,carlsbad,33.1580556,-117.3497222,91070,0,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
285,united states of america,pomona,34.0552778,-117.7513889,156183,26,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
286,united states of america,denver,39.7391667,-104.9841667,555981,286,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
287,united states of america,hollywood,26.0108333,-80.1497222,144821,0,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
288,united states of america,naples,26.1416667,-81.795,21498,0,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
289,united states of america,ormond beach,29.2855556,-81.0561111,38455,0,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
290,united states of america,tampa,27.9472222,-82.4586111,324465,0,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
291,united states of america,tampa,27.9472222,-82.4586111,324465,0,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
292,united states of america,northbrook,42.1275,-87.8288889,34322,44,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
293,united states of america,fort wayne,41.1305556,-85.1288889,229715,0,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
294,united states of america,indianapolis,39.7683333,-86.1580556,773283,294,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
295,united states of america,lenexa,38.9536111,-94.7333333,43331,1051,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
296,united states of america,saint louis,38.6272222,-90.1977778,320916,0,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
297,united states of america,albuquerque,35.0844444,-106.6505556,487378,297,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
298,united states of america,charlotte,35.2269444,-80.8433333,598351,298,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
299,united states of america,charlotte,35.2269444,-80.8433333,598351,299,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
300,united states of america,raleigh,35.7719444,-78.6388889,338759,0,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
301,united states of america,akron,41.0813889,-81.5191667,208414,51,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
302,united states of america,columbus,39.9611111,-82.9988889,736836,302,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
303,united states of america,dayton,39.7588889,-84.1916667,159134,0,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
304,united states of america,portland,45.5236111,-122.675,540513,304,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
305,united states of america,franklin,35.925,-86.8688889,49706,704,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
306,united states of america,knoxville,35.9605556,-83.9208333,172474,0,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
307,united states of america,san antonio,29.4238889,-98.4933333,1256810,307,NCT02425644,Multiple Sclerosis,RRMS,Drug,Phase 3,1100,Actelion Investigative Site
